City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price
Chandigarh,2013,Honda,Amaze,Diesel,Manual,200000,3rd owner,"EMI ₹9,415/m","₹9,415"
Chandigarh,2020,Maruti,Swift,Petrol,Manual,426000,1st owner,"EMI ₹8,328/m","₹8,328"
Chandigarh,2022,Mahindra,Thar,Diesel,Auto,1468000,2nd owner,"EMI ₹27,942/m","₹27,942"
Chandigarh,2015,Ford,Figo,Diesel,Manual,312000,1st owner,"EMI ₹8,216/m","₹8,216"
Chandigarh,2023,Maruti,Eeco,Petrol,Manual,553000,2nd owner,"EMI ₹10,811/m","₹10,811"
Chandigarh,2021,Mahindra,XUV500,Diesel,Manual,1423000,1st owner,"EMI ₹27,085/m","₹27,085"
Chandigarh,2023,Mahindra,SCORPIO-N,Diesel,Auto,2089999,1st owner,"EMI ₹39,781/m","₹39,781"
Chandigarh,2015,Maruti,Alto,Petrol,Manual,197000,2nd owner,"EMI ₹4,382/m","₹4,382"
Chandigarh,2014,Hyundai,Eon,Petrol,Manual,155000,3rd owner,"EMI ₹4,082/m","₹4,082"
Chandigarh,2018,Hyundai,Verna,Diesel,Manual,625000,2nd owner,"EMI ₹12,219/m","₹12,219"
Chandigarh,2010,Maruti,Swift,Petrol,Manual,121000,2nd owner,,₹1.21 lakh
Chandigarh,2014,Hyundai,i20,Petrol,Manual,280000,2nd owner,"EMI ₹7,373/m","₹7,373"
Chandigarh,2014,Tata,Nano,Petrol,Manual,138000,3rd owner,"EMI ₹3,634/m","₹3,634"
Chandigarh,2021,Tata,PUNCH,Petrol,Manual,669000,1st owner,"EMI ₹13,079/m","₹13,079"
Chandigarh,2015,Hyundai,Verna,Diesel,Auto,305000,3rd owner,"EMI ₹8,032/m","₹8,032"
Chandigarh,2010,Honda,City,Petrol,Manual,165000,1st owner,,₹1.65 lakh
Chandigarh,2012,Maruti,Wagon,Petrol,Manual,138000,2nd owner,"EMI ₹6,496/m","₹6,496"
Chandigarh,2017,Mahindra,KUV,Petrol,Manual,250000,2nd owner,"EMI ₹5,561/m","₹5,561"
Chandigarh,2010,Ford,Fiesta,Petrol,Manual,160000,1st owner,,₹1.70L
Ludhiana,2023,Maruti,Alto,Petrol,Manual,475000,1st owner,"EMI ₹9,286/m","₹9,286"
Ludhiana,2011,Volkswagen,Polo,Petrol,Manual,150000,1st owner,"EMI ₹13,327/m","₹13,327"
Ludhiana,2010,Maruti,Ritz,Petrol,Manual,110000,2nd owner,,₹1.10 lakh
Ludhiana,2021,Maruti,Ertiga,CNG,Manual,750000,1st owner,"EMI ₹14,663/m","₹14,663"
Ludhiana,2011,Maruti,SX4,Diesel,Manual,140000,1st owner,,₹1.40 lakh
Ludhiana,2013,Hyundai,Verna,Diesel,Manual,368000,1st owner,"EMI ₹17,323/m","₹17,323"
Ludhiana,2022,Hyundai,Creta,Diesel,Auto,1695000,2nd owner,"EMI ₹32,263/m","₹32,263"
Ludhiana,2021,Renault,Kiger,Petrol,Manual,500000,1st owner,"EMI ₹9,775/m","₹9,775"
Ludhiana,2018,Hyundai,Creta,Petrol,Manual,974000,1st owner,"EMI ₹18,539/m","₹18,539"
Ludhiana,2016,Toyota,Fortuner,Diesel,Auto,1436000,4th owner,"EMI ₹31,222/m","₹31,222"
Ludhiana,2011,Nissan,Micra,Petrol,Manual,94000,2nd owner,"EMI ₹8,316/m","₹8,316"
Ludhiana,2017,Tata,TIGOR,Petrol,Manual,325000,1st owner,"EMI ₹6,354/m","₹6,354"
Ludhiana,2018,Hyundai,Creta,Diesel,Manual,640000,2nd owner,"EMI ₹12,512/m","₹12,512"
Ludhiana,2011,Maruti,Alto,Petrol,Manual,150000,1st owner,"EMI ₹13,327/m","₹13,327"
Ludhiana,2010,Maruti,Alto,Petrol,Manual,83000,5th owner,,₹0.83 lakh
Ludhiana,2011,Chevrolet,Cruze,Diesel,Auto,150000,3rd owner,,₹1.60L
Ludhiana,2015,Ford,Ecosport,Diesel,Manual,229000,3rd owner,"EMI ₹6,023/m","₹6,023"
Ludhiana,2011,Volkswagen,Vento,Diesel,Manual,182000,1st owner,,₹1.82 lakh
Ludhiana,2015,Maruti,Alto,Petrol,Manual,225000,2nd owner,"EMI ₹5,005/m","₹5,005"
Ludhiana,2013,Nissan,Micra,Diesel,Manual,118000,3rd owner,"EMI ₹5,555/m","₹5,555"
Lucknow,2021,Maruti,Eeco,Petrol,Manual,424000,1st owner,"EMI ₹8,291/m","₹8,291"
Lucknow,2023,KIA,SONET,Petrol,Auto,1128000,1st owner,"EMI ₹21,476/m","₹21,476"
Lucknow,2021,Tata,Tiago,Petrol,Manual,409999,1st owner,"EMI ₹8,013/m","₹8,013"
Lucknow,2022,Maruti,Alto,Petrol,Manual,358000,1st owner,"EMI ₹7,006/m","₹7,006"
Lucknow,2016,Maruti,Baleno,Petrol,Manual,362000,1st owner,"EMI ₹7,077/m","₹7,077"
Lucknow,2022,Hyundai,VENUE,Petrol,Manual,635000,2nd owner,"EMI ₹12,414/m","₹12,414"
Lucknow,2022,Tata,PUNCH,Petrol,Manual,530000,1st owner,"EMI ₹10,362/m","₹10,362"
Lucknow,2014,Honda,Amaze,Petrol,Manual,292000,1st owner,"EMI ₹7,689/m","₹7,689"
Lucknow,2024,Hyundai,Creta,Petrol,Manual,1521000,1st owner,"EMI ₹28,957/m","₹28,957"
Lucknow,2021,Maruti,Swift,Petrol,Auto,549000,2nd owner,"EMI ₹10,733/m","₹10,733"
Lucknow,2018,Maruti,Vitara,Diesel,Manual,519000,2nd owner,"EMI ₹10,152/m","₹10,152"
Lucknow,2014,Maruti,Swift,Petrol,Manual,320000,2nd owner,"EMI ₹8,427/m","₹8,427"
Lucknow,2018,Maruti,Vitara,Diesel,Manual,474000,2nd owner,"EMI ₹9,267/m","₹9,267"
Lucknow,2020,Tata,NEXON,Petrol,Auto,519000,2nd owner,"EMI ₹10,147/m","₹10,147"
Lucknow,2017,Hyundai,Xcent,Petrol,Manual,353000,1st owner,"EMI ₹6,901/m","₹6,901"
Lucknow,2017,Maruti,Ciaz,Diesel,Manual,401000,1st owner,"EMI ₹7,847/m","₹7,847"
Lucknow,2022,Hyundai,Creta,Diesel,Manual,1090000,2nd owner,"EMI ₹20,747/m","₹20,747"
Lucknow,2019,Renault,Kwid,Petrol,Manual,264000,1st owner,"EMI ₹5,161/m","₹5,161"
Lucknow,2023,Hyundai,NEW,Petrol,Manual,860000,1st owner,"EMI ₹16,372/m","₹16,372"
Lucknow,2023,Maruti,Alto,Petrol,Manual,358000,1st owner,"EMI ₹6,999/m","₹6,999"
Gurgaon,2022,Tata,Safari,Diesel,Manual,1444000,1st owner,"EMI ₹27,489/m","₹27,489"
Gurgaon,2023,Skoda,KUSHAQ,Petrol,Auto,1087000,1st owner,"EMI ₹20,690/m","₹20,690"
Gurgaon,2015,Hyundai,Eon,Petrol,Manual,190000,2nd owner,"EMI ₹4,226/m","₹4,226"
Gurgaon,2020,Tata,ALTROZ,Petrol,Manual,432000,1st owner,"EMI ₹8,446/m","₹8,446"
Gurgaon,2021,Honda,City,Petrol,Manual,701000,1st owner,"EMI ₹13,705/m","₹13,705"
Gurgaon,2023,Nissan,MAGNITE,Petrol,Manual,508000,1st owner,"EMI ₹9,931/m","₹9,931"
Gurgaon,2024,Hyundai,Verna,Petrol,Manual,1243000,1st owner,"EMI ₹23,659/m","₹23,659"
Gurgaon,2019,Mahindra,XUV500,Diesel,Manual,656000,1st owner,"EMI ₹17,273/m","₹17,273"
